,tweet,language,mentions
197,we have shut our minds to any independent thinking it is as if we are in an idea prison and can t think beyond the artificial walls we have constructed,en,[]
198,the people who love modi or kejriwal are busy explaining their every move even the faulty ones,en,[]
199,the people who hate modi or kejriwal are busy hating him finding faults with everything they do selectively sharing the news which confirm their biases,en,[]
200,it is funny how rigid we are in our thinking and the current situation is no different,en,[]
201,rt all start ups have moved to cash conservation mode despite layoffs being the most obvious path every founder i spoke with voc,en,"[{'screen_name': 'avlesh', 'name': 'avlesh singh', 'id': '28381761'}]"
202,now would be the perfect time to bring out those drones and autonomous vehicles for deliveries bring them on,en,[]
203,haha that would be quite a comeback,en,[]
204,hope we are able to regain that pride and sensibility as a nation fast enough to prevent a meltdown,en,[]
205,if one looks at the history and goes back to indus valley civilisation maurya dynasty gupta dynasty etc we have been one of the best run countries and among the largest economies up to of the world gdp somewhere we have lost the path,en,[]
206,i wonder why is this the case indians are one of the most capable people in the world running numerous large companies in india and internationally why then are we not able to fix our social problems,en,[]
207,of course there are exceptions and lot of doctors nurses policemen and other people helping the needed but one would think that one of the largest economies in the world is able to take care of its people in a better way,en,[]
208,and these are not isolated incidents this is the normal situation sad part is that none of it is surprising to ordinary citizen how the state handles this situation determines how much trust citizens place in the authority next time around,en,[]
209,citizens are left helpless in case of healthcare need,en,[]
210,while the state has announced lockdown there are thousands of stranded with no plan or help,en,[]
211,educated citizens are defying police despite a clear message of lockdown,en,[]
212,there are numerous examples of,en,[]
213,this has been a mirror to the indian society even after years we have not figured out a working social order,en,[]
214,profiles seem genuine but people are copy pasting the message to show their human side and garner some engagement along the way it s a weird world,en,[]
215,funny state on linkedin it has become a playground of all the wannabe influencers spewing fakeness every day,en,[]
216,for all ye millennials,en,[]
217,i am the indian middle class,en,[]
218,this lockdown will also give indian middle class dad a chance to spend more than quality time with their kids hope they make good use of it,en,[]
219,while days is too less to change any behaviour maybe some learnings will be carried over,en,[]
220,indian middle class became successful on the back of the struggle they endured during their lives their kids are a pampered lot devoid of any struggle and what would make of their future is unknown indian middle class parent is in unchartered territory,en,[]
221,for the entitled kids of indian middle class sharing household chores this will be their first brush with hard work for their entire childhood parents have been telling the kids how life was tough in our time for the kids this will be their first first hand experience,en,[]
222,during this indian middle class will re learn the value of hard work after a long time they will be doing household chores on their own without ever present help,en,[]
223,rt every year or two i wind up in an argument about the value of long work hours recently i have just been pointing back,en,"[{'screen_name': 'id_aa_carmack', 'name': 'john carmack', 'id': '175624200'}]"
224,rt if happened during upa under manmohan singh amp sonia gandhi rs cr lab scam rs cr mask scam rs,en,"[{'screen_name': 'rishibagree', 'name': 'rishi bagree', 'id': '147994804'}]"
